party,district,member,counties,link
D,48.0,Garland E. Pierce,"Hoke, Richmond, Robeson, Scotland",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=497
R,82.0,Larry G. Pittman,Cabarrus,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=633
R,81.0,Larry W. Potts,Davidson,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=724
R,118.0,Michele D. Presnell,"Haywood, Madison, Yancey",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=670
D,58.0,"Amos L. Quick, III",Guilford,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=725
D,54.0,"Robert T. Reives, II","Chatham, Lee",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=684
D,7.0,Bobbie Richardson,"Franklin, Nash",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=680
D,44.0,William O. Richardson,Cumberland,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=702
R,64.0,Dennis Riddell,Alamance,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=665
R,112.0,David Rogers,"Burke, Rutherford",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=707
R,63.0,Stephen M. Ross,Alamance,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=664
R,97.0,Jason Saine,Lincoln,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=632
R,51.0,John Sauls,"Harnett, Lee",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=393
R,89.0,Mitchell S. Setzer,Catawba,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=149
R,15.0,Phil Shepard,Onslow,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=628
R,3.0,Michael Speciale,"Beaufort, Craven, Pamlico",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=671
R,1.0,Bob Steinburg,"Camden, Chowan, Currituck, Pasquotank, Perquimans, Tyrrell",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=666
R,90.0,Sarah Stevens,"Surry, Wilkes",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=592
R,105.0,Scott Stone,Mecklenburg,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=706
R,28.0,Larry C. Strickland,Johnston,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=727
R,45.0,John Szoka,Cumberland,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=662
D,71.0,Evelyn Terry,Forsyth,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=676
R,108.0,John A. Torbett,Gaston,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=606
D,116.0,Brian Turner,Buncombe,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=696
R,84.0,Rena W. Turner,Iredell,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=658
R,77.0,Harry Warren,Rowan,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=630
R,80.0,Sam Watford,Davidson,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=687
R,26.0,Donna McDowell White,Johnston,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=728
R,37.0,Linda Hunt Williams,Wake,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=721
D,23.0,Shelly Willingham,"Edgecombe, Martin",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=700
D,27.0,Michael H. Wray,"Halifax, Northampton",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=481
R,2.0,Larry Yarborough,"Granville, Person",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=694
R,73.0,Lee Zachary,"Alexander, Wilkes, Yadkin",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=695
