election.date,county,unknown.flag,name,addr.line.1,addr.line.2,open.date,hours,lon,lat
11/08/2016,MECKLENBURG,N,MT. ISLAND LIBRARY,4420 HOYT GALVIN WAY,"CHARLOTTE, NC 28214",11/02/2016,8:00AM - 7:00PM,-80.9604104,35.3350829
11/08/2016,MECKLENBURG,N,MT. ISLAND LIBRARY,4420 HOYT GALVIN WAY,"CHARLOTTE, NC 28214",11/03/2016,8:00AM - 7:00PM,-80.9604104,35.3350829
11/08/2016,MECKLENBURG,N,MT. ISLAND LIBRARY,4420 HOYT GALVIN WAY,"CHARLOTTE, NC 28214",11/04/2016,8:00AM - 7:00PM,-80.9604104,35.3350829
11/08/2016,MECKLENBURG,N,MT. ISLAND LIBRARY,4420 HOYT GALVIN WAY,"CHARLOTTE, NC 28214",11/05/2016,9:00AM - 1:00PM,-80.9604104,35.3350829
11/08/2016,MECKLENBURG,N,NORTH COUNTY REGIONAL LIBRARY,16500 HOLLY CREST LN,"HUNTERSVILLE, NC 28078",10/20/2016,8:00AM - 7:00PM,-80.8639606,35.4406835
11/08/2016,MECKLENBURG,N,NORTH COUNTY REGIONAL LIBRARY,16500 HOLLY CREST LN,"HUNTERSVILLE, NC 28078",10/21/2016,8:00AM - 7:00PM,-80.8639606,35.4406835
11/08/2016,MECKLENBURG,N,NORTH COUNTY REGIONAL LIBRARY,16500 HOLLY CREST LN,"HUNTERSVILLE, NC 28078",10/22/2016,9:00AM - 6:00PM,-80.8639606,35.4406835
11/08/2016,MECKLENBURG,N,NORTH COUNTY REGIONAL LIBRARY,16500 HOLLY CREST LN,"HUNTERSVILLE, NC 28078",10/23/2016,1:00PM - 6:00PM,-80.8639606,35.4406835
11/08/2016,MECKLENBURG,N,NORTH COUNTY REGIONAL LIBRARY,16500 HOLLY CREST LN,"HUNTERSVILLE, NC 28078",10/24/2016,8:00AM - 7:00PM,-80.8639606,35.4406835
11/08/2016,MECKLENBURG,N,NORTH COUNTY REGIONAL LIBRARY,16500 HOLLY CREST LN,"HUNTERSVILLE, NC 28078",10/25/2016,8:00AM - 7:00PM,-80.8639606,35.4406835
